0.00E+00,1.91E+00
1.00E-01,1.22E+00
2.00E-01,8.75E-01
3.00E-01,7.32E-01
4.00E-01,6.11E-01
5.00E-01,5.11E-01
6.00E-01,4.41E-01
7.00E-01,3.87E-01
8.00E-01,3.71E-01
9.00E-01,3.18E-01
0.00E+00,1.18E+00
1.00E-01,8.86E-01
2.00E-01,6.85E-01
3.00E-01,5.80E-01
4.00E-01,4.90E-01
5.00E-01,4.33E-01
6.00E-01,3.74E-01
7.00E-01,3.41E-01
8.00E-01,3.10E-01
9.00E-01,2.85E-01
0.00E+00,1.11E+00
1.00E-01,8.25E-01
2.00E-01,6.69E-01
3.00E-01,5.52E-01
4.00E-01,4.65E-01
5.00E-01,4.03E-01
6.00E-01,3.62E-01
7.00E-01,3.23E-01
8.00E-01,2.96E-01
9.00E-01,2.63E-01
0.00E+00,1.27E+00
1.00E-01,9.11E-01
2.00E-01,6.95E-01
3.00E-01,5.83E-01
4.00E-01,4.92E-01
5.00E-01,4.26E-01
6.00E-01,3.71E-01
7.00E-01,3.32E-01
8.00E-01,2.99E-01
9.00E-01,2.75E-01
0.00E+00,1.20E+00
1.00E-01,8.63E-01
2.00E-01,6.67E-01
3.00E-01,5.43E-01
4.00E-01,4.54E-01
5.00E-01,3.82E-01
6.00E-01,3.51E-01
7.00E-01,3.12E-01
8.00E-01,2.86E-01
9.00E-01,2.51E-01
0.00E+00,1.01E+00
1.00E-01,7.41E-01
2.00E-01,5.91E-01
3.00E-01,4.86E-01
4.00E-01,4.14E-01
5.00E-01,3.62E-01
6.00E-01,3.21E-01
7.00E-01,2.87E-01
8.00E-01,2.59E-01
9.00E-01,2.37E-01
0.00E+00,1.43E+00
1.00E-01,9.93E-01
2.00E-01,7.69E-01
3.00E-01,6.31E-01
4.00E-01,5.27E-01
5.00E-01,4.54E-01
6.00E-01,3.98E-01
7.00E-01,3.58E-01
8.00E-01,3.24E-01
9.00E-01,2.92E-01
0.00E+00,1.28E+00
1.00E-01,9.12E-01
2.00E-01,7.19E-01
3.00E-01,5.82E-01
4.00E-01,4.97E-01
5.00E-01,4.29E-01
6.00E-01,3.77E-01
7.00E-01,3.38E-01
8.00E-01,3.05E-01
9.00E-01,2.81E-01